ID,Sentences
93,EM CÓ ĐANG MỞ LU TÚT THÌ TẮT ĐI
94,MỞ GIÙM ANH LU TÚT
95,ĐỌC TRUYỆN CỔ TÍCH VỀ MẸ KẾ ĐI MAI CA
96,MỞ MỘT TRUYỆN CƯỜI NGẮN VÀ HAI CHUYỆN BUỒN DÀI
97,LÚC TÁM GIỜ MỞ TRUYỆN BA CHÚ HEO CON CHO BÉ NGỦ
98,KỂ CHUYỆN MA CHO BÉ NGỦ ĐI MAI CA
99,MỞ ĐÈN VỚI QUẠT PHÒNG ĐẰNG TRƯỚC ĐI MAI CA
100,ĐÓNG CỬA GA RA LẠI
101,MỞ MÁY LẠNH HAI MƯƠI SÁU ĐỘ THÔI
102,ANH ĐI LÀM MAI CA TẮT HẾT ĐÈN VỚI CỬA LẠI GIÙM ANH
103,TẮT GIÙM ANH ĐÈN PHÒNG NGỦ
104,MỞ ĐÀI VÊ TÊ VÊ BA CHO ANH NHA
105,BẬT QUẠT SỐ HAI
106,MAI CA ANH QUÊN TẮT BẾP RỒI EM TẮT GIÙM ANH
107,BÀI HÁT BÀI NÀY CHIU PHẾT
108,CHO PHÁT NHẠC TRƯỚC NĂM MỘT CHÍN BẢY LĂM GIÙM ANH ĐI MAI CA
109,CHO PHÁT BẢN NHẠC TÔI ĐƯA EM SANG SÔNG ĐI MAI CA
110,SÁU GIỜ BA MƯƠI PHÚT SÁNG MAI PHÁT NHẠC NHÉ
111,HAI MƯƠI GIỜ BỐN MƯƠI PHÚT SÁNG NGÀY HÔM NAY MỞ NHẠC ĐÀM VĨNH HƯNG
112,A LÔ MỞ NHẠC ĐƯỜNG LÊN ĐỈNH Ô LUM BI A
113,BẢY GIỜ SÁNG MAI BẬT NHẠC CHO TÔI NGHE
114,BA MƯƠI BÀI HÁT BÔ LÊ RÔ CHỌN LỌC HAY NHẤT
115,MAI CA ĐANG HÁT BÀI GÌ ĐÓ
116,MƯỜI LĂM GIỜ BA MƯƠI MỞ BÀI CHÚ ẾCH CON
117,MƯỜI BÀI HÁT RAP VIỆT
118,TIẾNG THÁI NÓI ANH THÍCH EM NHƯ NÀO VẬY MAI CA
119,BA NHÂN MƯỜI HAI BẰNG BAO NHIÊU
120,QUẬN BA HÔM NAY THỜI TIẾT NHƯ THẾ NÀO
121,HÔM NAY Ở QUẬN BA CÓ MƯA KHÔNG
122,CHÍNH GIỜ BA MƯƠI SÁNG MAI NHẮC TÔI HỌP
123,NHẮC NHỞ TÔI MƯỜI MỘT GIỜ TỐI ĐI NGỦ
124,NHẮC TÔI NĂM PHÚT NỮA TĂNG CA
125,ĐẶT BÁO THỨC NGỦ DẬY LÚC BẢY GIỜ
126,ĐẶT BÁO THỨC BẢY GIỜ BA MƯƠI SÁNG
127,MỞ BÓT KHÁT TIẾNG VIỆT
128,MỞ BÓT CÁT MỚI PHÁT HÀNH
129,MỞ RÂY ĐI Ô
130,MỞ ĐÀI RÂY ĐI Ô VI ÂU VI
131,MỞ RÂY ĐI Ô CHÍN CHÍN CHẤM CHÍN
132,MỞ KÊNH RÂY ĐI Ô CA NHẠC
133,TẮT RÂY ĐI Ô SAU MƯỜI PHÚT
134,MỞ RA ĐI Ô TRONG HAI GIỜ
135,MỞ CHƯƠNG TRÌNH RA ĐI Ô BÚC
136,MỞ KINH ÉP EM TÁM CHÍN
137,MỞ VÊ Ô VÊ MỘT
138,PHÁT ÂM THANH TRẮNG TRONG BA MƯƠI PHÚT
139,NGÀY MƯỜI ÂM LỊCH LÀ THỨ MẤY
140,KẾT NỐI LU TÚT
141,BẬT CHẾ ĐỘ LU TÚT
142,KỂ TRUYỆN ĐẾN MƯỜI MỘT GIỜ
143,KỂ MƯỜI CÂU TRUYỆN CỔ TÍCH
144,PHÁT LIÊN TỤC BÀI NÀY NĂM LẦN
145,MỞ NHẠC TRONG MƯỜI LĂM PHÚT
146,LẶP LẠI BÀI NÀY MƯỜI LẦN
147,MỞ BÀI NÀY MƯỜI LẦN ĐI
148,PHÁT NHẠC HÒA TẤU TRONG HAI GIỜ
149,MỞ THÔNG TIN VỀ BÃO SỐ CHÍN
150,BẬT BÁO THỨC LÚC NĂM GIỜ SÁNG
151,MỞ KÊNH XON ÉP EM
152,MỞ KÊNH TRỰC TUYẾN VÊ Ô VÊ GIAO THÔNG
153,MỞ RA ĐI Ô GIỌNG MIỀN NAM
154,TUA LẠI NĂM PHÚT
155,MỞ RÂY ĐI Ô TÂM SỰ ĐÊM KHUYA
156,MỞ LỐC RÂY ĐI Ô Ý NGHĨA CUỘC SỐNG
157,MỞ LỐC RÂY ĐI Ô TÌNH YÊU
158,MỞ KÊNH RÂY ĐI Ô MƯỜI LĂM HÉT
159,MỞ TIẾNG ẾCH NHÁI KIU TRONG MỘT GIỜ
160,NGÀY BA MƯƠI THÁNG TƯ NHẰM NGÀY MẤY ÂM LỊCH
161,BA MƯƠI THÁNG TƯ LÀ THỨ MẤY
162,ĐẶT ÂM LƯỢNG MỨC NĂM
163,BẬT LU TÚT
164,ĐỌC TRUYỆN PHÒNG TRỌ BA NGƯỜI
165,HẠ NHIỆT ĐỘ XUỐNG MỨC HAI MƯƠI BA
166,MỞ NHẠC TẾT RÌ MÍC
167,MỞ BÀI NGÂY THƠ RÌ MÍT
168,PHÁT BÀI DẠ VŨ LẬP LẠI MƯỜI LẦN
169,MỞ NHẠC CỦA SÀI GÒN CHÍN ÍT
170,MỞ NHẠC GHI TA CỔ ĐIỂN
171,MỞ NHẠC TĂNG GÔ
172,MỞ BÀI BÀI KHÔNG TÊN SỐ NĂM CỦA BẰNG KIỀU
173,TÔI SINH NGÀY MƯỜI
174,TÔI SINH THÁNG CHÍN
175,BA GIỜ CHIỀU NAY CÓ MƯA KHÔNG
176,NGÀY MAI GỌI TÔI DẬY LÚC CHÍN GIỜ
177,NHẮC TÔI SAU NĂM MƯƠI PHÚT NỮA
178,GỌI TÔI DẬY VÀO LÚC SÁU GIỜ SÁNG MỖI NGÀY
179,BÁO THỨC CHÍN GIỜ SÁNG MAI
180,NGÀY MAI TÔI PHẢI ĐI BƠI LÚC NĂM GIỜ CHIỀU
181,MỞ CHƯƠNG CHÌNH CẢI LƯƠNG
182,BÓT CÁT ĐANG PHÁT CỦA AI
183,MỞ BÓT CÁT
184,BẬT KÊNH VÊ Ô VÊ MỘT
185,MỞ KÊNH VÊ Ô VÊ GIAO THÔNG
186,MỞ ĐÀI ÉP EM CHÍN MƯƠI CHÍN CHẤM CHÍN
187,MỞ RA ĐI Ô
188,NGÀY HAI MƯƠI BẢY THÁNG BA LÀ THỨ MẤY
189,TẮT LU TÚT
190,MỞ LU TÚT
191,BẬT CHUYỆN TRONG BA MƯƠI PHÚT
192,MỞ MƯỜI CHUYỆN CƯỜI
193,GIẢM ÂM LƯỢNG TI VI XUỐNG MỘT CHÚT
194,TĂNG NHIỆT ĐỘ LÊN HAI MƯƠI BẢY
195,TẮT ĐÈN PHÒNG NGỦ SỐ BA
196,BẬT NHIỆT ĐỘ HAI MƯƠI LĂM
197,MỞ MÁY LẠNH SỐ BỐN
198,MỞ NHẠC CHONG PHÒNG KHÁCH
199,MỞ NHẠC TRONG VÒNG BA MƯƠI PHÚT
200,MỞ BÀI CHẠY VỀ KHÓC VỚI ANH MƯỜI LẦN
201,MỞ NHẠC RÁP
202,MỞ ĐƯỜNG XƯA MÂY CHẮNG
203,XAM XUNG DO AI SÁNG LẬP
204,MƯỜI MŨ HAI BẰNG MẤY
205,TỐI NAY Ở QUẬN BẢY CÓ MƯA KHÔNG
206,THỜI TIẾT Ở QUẬN BẢY
207,CHỦ NHẬT TÔI Ở NHÀ NHẮC TÔI TRƯỚC HAI NGÀY
208,THỨ HAI TÔI ĐI LÀM NHẮC TÔI TRƯỚC MỘT NGÀY
209,NHẮC TÔI ĐI NGỦ LÚC MƯỜI MỘT GIỜ TỐI
210,NHẮC TÔI ĐÓNG TIỀN ĐIỆN VÀO NGÀY HAI MƯƠI TÁM HẰNG THÁNG
211,ĐẶT BÁO THỨC LÚC BẢY GIỜ SÁNG
212,NHẮC TÔI SAU BA MƯƠI PHÚT NỮA
213,NHẮC TÔI ĂN CƠM LÚC MƯỜI HAI GIỜ HẰNG NGÀY
214,NHẮC TÔI UỐNG NƯỚC SAU NĂM PHÚT NỮA
215,DỪNG BÓT CÁT
216,MỞ BÓT CÁT CỦA NGUYỄN NGỌC ANH
217,MỞ BÓT CÁT
218,MỞ RA ĐI Ô ÉP EM TÁM CHÍN
219,MỞ ĐÀI SÁU MỘT KHÔNG
220,MỞ ÉP EM CHÍN MỐT
221,MỞ VÊ Ô VÊ DAO THÔNG
222,MỞ VÊ Ô VÊ HAI
223,MỞ VÊ Ô VÊ MỘT
224,MỞ ĐÀI CHÍN LĂM CHẤM SÁU
225,MỞ ĐÀI CHÍN CHÍN CHẤM CHÍN
226,MỞ RA DÔ
227,PHÁT TIẾNG CON CHIM CHÍCH CHÒE
228,MỞ TIẾNG SÓNG BIỂN ĐẾN MƯỜI HAI GIỜ
229,MỞ TIẾNG NƯỚC CHẢY TRONG BA TIẾNG
230,CÒN BAO NHIÊU NGÀY NỮA ĐẾN NGÀY BA MƯƠI THÁNG TƯ
231,TẮT LU TÚT
232,MỞ LU TÚT
233,MỞ CÔNG TẮC HAI
234,MỞ CÔNG TẮC MỘT
235,LẶP LẠI BÀI NÀY BA LẦN
236,MỞ BÀI LẠC BA LẦN
237,KỂ MỘT SỐ QUÁN ĂN NỔI TIẾNG Ở SÀI GÒN
238,THỜI TIẾT BA NGÀY TIẾP THEO Ở ĐÀ NẴNG
239,THỜI TIẾT NGÀY BA MƯƠI THÁNG TƯ NĂM HAI KHÔNG HAI HAI Ở SA PA NHƯ THẾ NÀO
240,MỘT TIẾNG NỮA NHẮC TÔI RA KHỎI NHÀ
241,ĐẶT BÁO THỨC MƯỜI GIỜ SÁNG CÓ CUỘC HỌP NHÓM
242,CỨ HAI MƯƠI PHÚT NHẮC TÔI UỐNG NƯỚC
243,MƯỜI PHÚT NỮA NHẮC TÔI TẮT ĐÈN
244,NHẮC TÔI MƯỜI BỐN GIỜ CHIỀU CÓ CUỘC HỌP
245,GỌI TÔI DẬY VÀO BẢY GIỜ SÁNG MAI
246,DỪNG BỐT CÁT
247,BỐT CÁT ĐANG PHÁT TÊN GÌ
248,MỞ BỐT CÁT
249,MỞ TO LÊN MỘT NẤC
250,MỞ RA ĐI Ô TRONG HAI GIỜ
251,MỞ TIN CÔ VÍT
252,MỞ ĐÀI VÊ Ô VÊ
253,MỞ ÉP EM CHÍN CHÍN CHẤM CHÍN
254,MỞ VÊ Ô HẮT
255,MỞ ÂM THANH TRẮNG ĐẾN MƯỜI GIỜ TỐI
256,MỞ ÂM THANH TRẮNG TRONG HAI TIẾNG
257,RẰM THÁNG TÁM LÀ NGÀY MẤY DƯƠNG
258,CÒN MẤY NGÀY NỮA ĐẾN MỘT THÁNG TƯ
259,NGÀY MỘT THÁNG TƯ DƯƠNG LÀ NGÀY MẤY ÂM
260,NGÀY MỘT THÁNG TƯ TRÙNG THỨ MẤY
261,ĐỌC TRUYỆN CHO BÉ BA TUỔI
262,ĐỌC TRUYỆN CHO TRẺ SÁU TUỔI
263,ĐỌC TRUYỆN CỔ RIM
264,BẬT NHẠC SƠN TÙNG EM TI BI
265,MỞ BÀI NÀY TRONG MỘT TIẾNG
266,MAI CA LÀ NAM HAY NỮ
267,MAI CA SINH NĂM MẤY
268,TÁC GIẢ ĐÔ RÊ MON LÀ AI
269,PI CHIA CHO KHÔNG BẰNG MẤY
270,ÔNG GIÀ NÔ EN QUÊ Ở ĐÂU
271,NƯỚC NÀO Ở CHÂU ÂU CÓ GI ĐI PI CAO NHẤT
272,NƯỚC NÀO Ở CHÂU ÂU CÓ GI ĐI PI CAO NHẤT
273,NHẮC TÔI GỌI ĐIỆN THOẠI CHO BA BA LẦN MỘT TUẦN
274,NHẮC TÔI XEM RAP VIỆT MÙA BA
275,NHẮC SINH NHẬT BẠN GÁI VÀO HAI MƯƠI THÁNG HAI
276,NHẮC MÌNH LÀM TIỂU LUẬN LÚC HAI MƯƠI MỐT GIỜ MỖI NGÀY
277,NHẮC TÔI SOẠN ĐỒ ĐI CHƠI VÀO HAI MƯƠI GIỜ TỐI THỨ SÁU
278,NHẮC TAO ĐI NGỦ SAU HAI TIẾNG NỮA
279,BÁO THỨC TỪ SÁU GIỜ ĐẾN BẢY GIỜ MỖI LẦN CÁCH NHAU MƯỜI LĂM PHÚT
280,BÁO THỨC LÚC SÁU GIỜ KÉM MƯỜI LĂM
281,NIỆM PHẬT TRONG MỘT GIỜ
282,TẮT ĐÀI RA ĐI Ô
283,MỞ ĐÀI VÊ Ô VÊ SAU MỘT TIẾNG MƯỜI LĂM PHÚT
284,TIẾNG GIÓ CẤP ĐỘ NĂM
285,NÔ EN VÀO THỨ MẤY
286,NGÀY HAI BA THÁNG MƯỜI ÂM LỊCH LÀ THỨ MẤY
287,QUỐC KHÁNH HAI KHÔNG HAI HAI ĐƯỢC NGHỈ MẤY NGÀY
288,HAI MƯƠI BA THÁNG MƯỜI ÂM LỊCH LÀ NGÀY MẤY DƯƠNG LỊCH
289,TẾT KHƠ ME NĂM NAY VÀO NGÀY MẤY DƯƠNG LỊCH
290,THÁNG HAI NĂM NAY CÓ NGÀY HAI MƯƠI CHÍN KHÔNG
291,ĐỌC LU TÚT
292,KỂ CHUYỆN ĐẾN HAI MƯƠI HAI GIỜ KÉM MƯỜI LĂM
293,TẮT MÁY LẠNH SAU BỐN GIỜ SÁNG
294,TẮT MỞ ĐÈN LIÊN TỤC NĂM GIÂY
295,RÉT RUN RỒI
296,NỰC QUÁ
297,MỞ NHẠC THU ÂM TRƯỚC MỘT CHÍN BẢY LĂM
298,SÁU GIỜ SÁNG MAI MỞ BÀI CHÀO BUỔI SÁNG
299,MƯỜI LĂM PHÚT NỮA MỞ BÀI TAN TRƯỜNG
300,MỞ BÀI CÒN THỞ LÀ CÒN GỠ RAP VIỆT MÙA HAI
301,MAI CA CÓ
302,BA TRĂM HAI MƯƠI LĂM CỘNG MƯỜI SÁU TRỪ NĂM MƯƠI CHÍN BẰNG BAO NHIÊU
303,ĐÔ LA LÀ ĐƠN VỊ TIỀN CỦA NƯỚC NÀO
304,ĐỊNH LUẬT NIU TƠN
305,CỨ HAI MƯƠI PHÚT NHẮC TUI UỐNG NƯỚC
306,BÁO THỨC CHIỀU NAY ĐI SIÊU THỊ LÚC SÁU GIỜ
307,BÁO THỨC BẢY GIỜ SÁNG MỖI NGÀY ĐI TẬP THỂ DỤC
308,NHẮC TÔI NĂM PHÚT NỮA NẤU CƠM
309,NHẮC TÔI SAU MƯỜI PHÚT
310,BÁO TUI VÀO SÁU GIỜ BA MƯƠI PHÚT MỖI NGÀY
311,LẶP LẠI BỐT CÁT NÀY ĐẾN TÁM GIỜ TỐI
312,PHÁT KINH PHẬT NÀY MƯỜI LẦN
313,MỞ BỐT CÁT CHỦ ĐỀ DẠY TRẺ
314,MỞ BỐT CÁT CỦA VẬT VỜ
315,MỞ BỐT CÁT
316,DỪNG PHÁT KINH
317,MỞ RA ĐI Ô TRONG HAI GIỜ
318,MỞ TIN TIẾP THEO
319,MỞ RA ĐI Ô
320,MỞ CHƯƠNG TRÌNH RA ĐI Ô
321,MỞ RA ĐI Ô ĐÀI TRÀ VINH
322,MỞ TIẾNG THÁC MỞ TIẾNG THÁC NƯỚC ĐỔ ĐẾN MƯỜI GIỜ TỐI
323,MỞ ÂM THANH TRẮNG TRONG MỘT TIẾNG
324,TẾT HAI KHÔNG HAI BA RƠI VÀO THỨ MẤY
325,CHỈNH ÂM LƯỢNG MỨC BẢY
326,TẮT CHẾ ĐỘ LU TÚT
327,BẬT LU TÚT
328,KỂ CHUYỆN SƠN TINH THỦY TINH BA LẦN
329,PHÁT TRUYỆN KINH DỊ ĐẾN MƯỜI MỘT GIỜ TỐI
330,ĐỌC MƯỜI TRUYỆN CƯỜI
331,KỂ CHUYỆN CỔ TÍCH TRONG BA MƯƠI PHÚT
332,PHÁT BÀI NÀY NĂM LẦN
333,LẶP LẠI BÀI NÀY TRONG HAI MƯƠI PHÚT
334,MỞ NHẠC TRONG BA MƯƠI PHÚT
335,MỞ NHẠC RÌ MÍT
336,CÔNG THỨC TÍNH CHU VI HÌNH CHỮ NHẬT
337,XĂNG HÔM NAY BAO NHIÊU MỘT LÍT
338,CÓ NGUY CƠ CHIẾN TRANH THẾ GIỚI THỨ BA KHÔNG
339,TÍNH DÙM TÔI MỘT VỚI MỘT LÀ MẤY
340,MỘT VỚI MỘT LÀ MẤY
341,MỘT CỘNG MỘT BẰNG MẤY
342,DIU RAI NA NẰM Ở ĐÂU
343,AI ĐANG GỌI CHO TUI
344,TIA U VÊ HÔM NAY CAO BAO NHIÊU
345,QUẬN BA HÔM NAY CÓ NẮNG KHÔNG
346,NHIỆT ĐỘ NGOÀI TRỜI HIỆN TẠI Ở QUẬN BA
347,ĐẶT BÁO THỨC TÁM GIỜ ĐI TƯỚI CÂY
348,LÚC MƯỜI BẢY GIỜ NHẮC TÔI ĐI VỀ
349,NĂM PHÚT NỮA NHẮC TÔI UỐNG THUỐC
350,NHẮC TÔI ĐI LÀM LÚC TÁM GIỜ SÁNG MỖI NGÀY
351,NHẮC TÔI SAU BA MƯƠI PHÚT NỮA
352,MỞ NIỆM PHẬT TRONG BA TIẾNG
353,MỞ TIN VI EN ẸT RÉT
354,MỞ TIN LIÊN QUAN TỔNG THỐNG DIU RAI NA
355,BẬT RA ĐI Ô LÀN SÓNG XANH
356,MỞ RA ĐI Ô CHÍN CHÍN MÊ GA HÉT
357,BẬT RA ĐI Ô
358,MỞ ÂM THANH TRẮNG TRONG MƯỜI LĂM PHÚT
359,BA MƯƠI THÁNG TƯ NĂM NAY ĐƯỢC NGHỈ MẤY NGÀY
360,RẰM THÁNG TÁM NHẰM NGÀY MẤY DƯƠNG LỊCH
361,BA MƯƠI THÁNG TƯ RƠI VÀO NGÀY MẤY ÂM LỊCH
362,BA MƯƠI THÁNG TƯ NHẰM THỨ MẤY
363,CÒN MẤY NGÀY NỮA TỚI BA MƯƠI THÁNG TƯ
364,BẬT LU TÚT
365,ĐỌC CHUYỆN ĂN KHẾ TRẢ VÀNG ĐẾN MƯỜI GIỜ TỐI
366,DỪNG CHUYỆN
367,ĐỌC MƯỜI CHUYỆN NGỤ NGÔN
368,KỂ CHUYỆN SỰ TÍCH CÂY CHỔI BA LẦN
369,CHUYỂN MÀU ĐÈN SANG CHẾ ĐỘ ĐỌC SÁCH
370,GIẢM NHIỆT ĐỘ MÁY LẠNH XUỐNG HAI ĐỘ
371,TĂNG ÂM LƯỢNG TI VI PHÒNG KHÁCH
372,HÉ LÔ
373,MỞ BÀI LỐI NHỎ MƯỜI LẦN
374,GIẢM TỐC ĐỘ PHÁT MỘT LẦN
375,TĂNG TỐC ĐỘ PHÁT HAI LẦN
376,PHÁT LÙI MƯỜI GIÂY
377,PHÁT TỚI MƯỜI GIÂY
378,HÁT BÀI NÀY TRONG BA MƯƠI PHÚT
379,DỊCH CÂU AI LỚP DU SANG TIẾNG NHẬT
380,CHỦNG CÔ VÍT MỚI LÀ CHỦNG GÌ
381,HÀ NỘI ĐANG CÓ BAO NHIÊU CA CÔ VÍT
382,HIỆN CÓ BAO NHIÊU CA CÔ VÍT
383,MỘT HAI BỐN CỘNG HAI BA BỐN BẰNG MẤY
384,MỘT CỘNG MỘT BẰNG MẤY
385,BẢY GIỜ TỐI NHẮC TÔI ĐI NGỦ
386,TÁM GIỜ SÁNG NHẮC TÔI ĐI BƠI
387,NHẮC TÔI NGỦ SỚM LÚC HAI GIỜ SÁNG MỖI NGÀY
388,NHẮC TÔI BỆ HẠ VẪN CÒN CƠ HỘI CUỐI CÙNG LÚC TÁM GIỜ HAI MƯƠI SÁNG
389,NHẮC TÔI BỆ HẠ XIN NGƯỜI TỈNH TÁO LÚC TÁM GIỜ SÁNG
390,NHẮC TÔI BỆ HẠ THỊNH THỨC DẬY LÚC BẢY GIỜ BỐN MƯƠI LĂM SÁNG
391,NHẮC TÔI BỆ HẠ SẼ TRỄ LÀM LÚC BẢY GIỜ BA MƯƠI SÁNG
392,NHẮC TÔI BỆ HẠ ĐÃ TỚI GIỜ LÀM LÚC BẢY GIỜ SÁNG
393,NHẮC TÔI NGỦ LÚC SÁU GIỜ SÁNG
394,KÊU TÔI DẬY LÚC BA GIỜ SÁNG
395,TỤNG KINH NI
396,CHUYỂN BÓT CÁT KHÁC
397,MỞ BÓT CÁT
398,MỞ TIN CỦA VÊ Ô VÊ
399,MỞ TIN CỦA VÊ Ô HẮT
400,MỞ ĐẠI MỘT RA ĐI Ô NÀO ĐÓ
401,MỞ RA ĐI Ô
402,BA MƯƠI THÁNG TƯ LÀ THỨ MẤY
403,MỞ LU TÚT
404,MỞ TRUYỆN TRƯỚC ĐÓ
405,MỞ TRUYỆN CỔ TÍCH TRONG BA MƯƠI PHÚT
406,TẮT ĐÈN TO LÉT
407,TẮT TI VI
408,CHỈNH MÁY LẠNH HAI MƯƠI SÁU ĐỘ
409,MỞ BÀI HAI GIỜ SÁNG
410,MỞ NHẠC TỚI HAI GIỜ SÁNG
411,MỞ NHẠC TRONG HAI TIẾNG
412,ĐÁP ÁN CỦA PHÉP TÍNH HAI TRĂM NĂM MƯƠI SÁU CỘNG BẢY MƯƠI TÁM TRỪ BỐN MƯƠI CHÍN LÀ BAO NHIÊU
413,QUẬN BA HÔM NAY CÓ MƯA KHÔNG
414,HÔM NAY Ở QUẬN BA TRỜI CÓ NÓNG KHÔNG
415,MỘT TIẾNG NỮA NHẮC TÔI RA KHỎI NHÀ
416,ĐẶT BÁO THỨC MƯỜI GIỜ SÁNG CÓ CUỘC HỌP NHÓM
417,CỨ HAI MƯƠI PHÚT NHẮC TÔI UỐNG NƯỚC
418,MƯỜI PHÚT NỮA NHẮC TÔI TẮT ĐÈN
