sid,orig_text,post_text
20,GIẢM ÂM LƯỢNG HAI MƯƠI PHẦN TRĂM,GIẢM ÂM LƯỢNG 20 PHẦN TRĂM
21,BẬT LU TÚT,BẬT LU TÚT
22,KỂ CHUYỆN TIẾP THEO,KỂ CHUYỆN TIẾP THEO
23,KỂ TRUYỆN KHÁC ĐI,KỂ TRUYỆN KHÁC ĐI
24,KỂ TRUYỆN CỔ TÍCH HAI TIẾNG,KỂ TRUYỆN CỔ TÍCH 2 TIẾNG
25,KỂ HAI TRUYỆN CỔ TÍCH,KỂ 2 TRUYỆN CỔ TÍCH
26,TẮT TI VI,TẮT TI VI
27,MỞ TI VI,MỞ TI VI
28,GIẢM MÁY LẠNH HAI HAI ĐỘ,GIẢM MÁY LẠNH 22 ĐỘ
29,TUI VỀ RỒI,TUI VỀ RỒI
30,MỞ MƯỜI BÀI HÁT NHẠC QUẨY,MỞ 10 BÀI HÁT NHẠC QUẨY
31,MỞ NHẠC ĐẾN HAI GIỜ CHIỀU,MỞ NHẠC ĐẾN 2 GIỜ CHIỀU
32,MỞ NHẠC TRONG HAI GIỜ,MỞ NHẠC TRONG 2 GIỜ
33,MỞ BÀI CHÂN TÌNH HAI LẦN,MỞ BÀI CHÂN TÌNH HAI LẦN
34,BAO NHIÊU TIỀN MỘT CÂY VÀNG,BAO NHIÊU TIỀN 1 CÂY VÀNG
35,HAI NGÀN,2000
36,TÔI GHÉT BẠN TIẾNG THÁI LAN LÀ GÌ,TÔI GHÉT BẠN TIẾNG THÁI LAN LÀ GÌ
37,PHẠM PHƯƠNG HẰNG LÀ AI,PHẠM PHƯƠNG HẰNG LÀ AI
38,NHẬN CUỘC GỌI,NHẬN CUỘC GỌI
39,SÀI GÒN HÔM NAY CÓ GIÔNG KHÔNG,SÀI GÒN HÔM NAY CÓ GIÔNG KHÔNG
40,MỞ TẬP CỦA MỘT CHƯƠNG TRÌNH NGUY CƠ,MỞ TẬP CỦA MỘT CHƯƠNG TRÌNH NGUY CƠ
41,MỞ BÓT CÁT CỦA QUỐC KHÁNH,MỞ BÓT CÁT CỦA QUỐC KHÁNH
42,MỞ BÓT CÁT CỦA QUỐC KHÁNH,MỞ BÓT CÁT CỦA QUỐC KHÁNH
43,MỞ BÓT CÁT,MỞ BÓT CÁT
44,BỎ QUA KÊNH NÀY,BỎ QUA KÊNH NÀY
45,MỞ TIN TỨC KÊNH ÉP EM CHÍN MƯƠI TÁM CỦA VÊ Ô VÊ,MỞ TIN TỨC KÊNH ÉP EM 98 CỦA VÊ Ô VÊ
46,MỞ TIN TỨC KÊNH ÉP EM CHÍN MƯƠI TÁM CỦA VÊ Ô VÊ,MỞ TIN TỨC KÊNH ÉP EM 98 CỦA VÊ Ô VÊ
47,MỞ TIN BUỔI SÁNG,MỞ TIN BUỔI SÁNG
48,MỞ KÊNH DON ÉP EM,MỞ KÊNH DON ÉP EM
49,MỞ ĐÀI VÊ Ô VÊ,MỞ ĐÀI VÊ Ô VÊ
50,MẾ ĐI Ờ,MẾ ĐI Ờ
51,ĐIỀU KHIỂN LU TÚT,ĐIỀU KHIỂN LU TÚT
52,KỂ LẠI TRUYỆN MỘT LẦN NỮA,KỂ LẠI TRUYỆN MỘT LẦN NỮA
53,MỞ TRUYỆN MA TRONG NĂM TIẾNG,MỞ TRUYỆN MA TRONG NĂM TIẾNG
54,MỞ NĂM TRUYỆN CỔ TÍCH ĐI,MỞ NĂM TRUYỆN CỔ TÍCH ĐI
55,TIỄN KHÁCH,TIỄN KHÁCH
56,TRẢ MÁY LẠNH XUỐNG HAI ĐỘ,TRẢ MÁY LẠNH XUỐNG 2 ĐỘ
57,MỞ DANH SÁCH NHẠC CỦA QUÉT LAI,MỞ DANH SÁCH NHẠC CỦA QUÉT LAI
58,MỞ MƯỜI BÀI HÁT NHẠC QUẨY,MỞ 10 BÀI HÁT NHẠC QUẨY
59,MỞ NHẠC ĐẾN HAI GIỜ CHIỀU,MỞ NHẠC ĐẾN 2 GIỜ CHIỀU
60,MỞ NHẠC TRONG HAI GIỜ,MỞ NHẠC TRONG 2 GIỜ
61,THÁNG TÁM CÓ BAO NHIÊU NGÀY,THÁNG 8 CÓ BAO NHIÊU NGÀY
62,Ở GIỮA SỐ SÁU VÀ SỐ TÁM LÀ SỐ MẤY,Ở GIỮA SỐ 6 VÀ SỐ 8 LÀ SỐ MẤY
63,MẮC GÌ KHÔNG CÓ AI PHON CHÍN VẬY MAI CA,MẮC GÌ KHÔNG CÓ AI PHON CHÍN VẬY MAI CA
64,CÓ MỘT TRĂM CA THÌ NÊN ĂN GÌ,CÓ 100 CA THÌ NÊN ĂN GÌ
65,DỊCH CHO TÔI HAI LY TRÀ SỮA SANG TIẾNG ANH,DỊCH CHO TÔI HAI LY TRÀ SỮA SANG TIẾNG ANH
66,GỌI QUÁN BI GIA,GỌI QUÁN BI GIA
67,MAI CÓ MƯA KHÔNG MAI CA,MAI CÓ MƯA KHÔNG MAI CA
68,ĐÀ LẠT THÁNG SÁU LẠNH MẤY ĐỘ,ĐÀ LẠT THÁNG SÁU LẠNH MẤY ĐỘ
69,THÁNG TƯ Ở NHA TRANG CÓ NẮNG LẮM KHÔNG,THÁNG 4 Ở NHA TRANG CÓ NẮNG LẮM KHÔNG
70,BỐN GIỜ CHIỀU Ở QUẬN MỘT CÓ MƯA KHÔNG,4 GIỜ CHIỀU Ở QUẬN MỘT CÓ MƯA KHÔNG
71,HAI BA NGÀY TRƯỚC BA MƯƠI THÁNG TƯ NHẮC ANH ĐẶT BÀN VỚI ĐẶT PHÒNG,23 NGÀY TRƯỚC 30 THÁNG 4 NHẮC ANH ĐẶT BÀN VỚI ĐẶT PHÒNG
72,TRƯỚC NGÀY VA LANH THAI NHỚ NHẮC ANH ĐI MUA HOA,TRƯỚC NGÀY VA LANH THAI NHỚ NHẮC ANH ĐI MUA HOA
73,ĐẶT NHẮC NHỞ ĐI KHÁM RĂNG VÀO NGÀY BA THÁNG SÁU VỚI NGÀY BẢY THÁNG CHÍN,ĐẶT NHẮC NHỞ ĐI KHÁM RĂNG VÀO NGÀY BA THÁNG 6 VỚI NGÀY 7 THÁNG 9
74,BA TIẾNG NỮA CÓ NHẮC NHỞ GÌ,BA TIẾNG NỮA CÓ NHẮC NHỞ GÌ
75,THỨ HAI BA NHẮC ANH ĐI DẠY ĐÚNG BỐN GIỜ,THỨ HAI BA NHẮC ANH ĐI DẠY ĐÚNG 4 GIỜ
76,BẢY GIỜ SÁNG MAI NHỚ KÊU ANH DẬY,7 GIỜ SÁNG MAI NHỚ KÊU ANH DẬY
77,HAI TIẾNG NỮA NHẮC ANH CHƠI GEM,2 TIẾNG NỮA NHẮC ANH CHƠI GEM
78,SÁU GIỜ SÁNG MAI ANH CÓ HẸN LÊN MÁY BAY NHỚ NHẮC,6 GIỜ SÁNG MAI ANH CÓ HẸN LÊN MÁY BAY NHỚ NHẮC
79,CHUYỂN BÁO THỨC TỪ SÁU GIỜ THÀNH SÁU GIỜ BA MƯƠI,CHUYỂN BÁO THỨC TỪ 6 GIỜ THÀNH 6 GIỜ 30
80,ĐỌC KINH TRONG VÒNG BA MƯƠI PHÚT,ĐỌC KINH TRONG VÒNG 30 PHÚT
81,MỞ THỬ MẤY BÀI BÓT CÁT,MỞ THỬ MẤY BÀI BÓT CÁT
82,ĐỌC TIN CHO CẢ NHÀ NGHE ĐI MAI CA,ĐỌC TIN CHO CẢ NHÀ NGHE ĐI MAI CA
83,TÁM GIỜ SÁNG EM MỞ TIN TỨC CHO ANH,8 GIỜ SÁNG EM MỞ TIN TỨC CHO ANH
84,ĐỌC TIN RÌ VIU VỀ MÁC BÚT ĐI EM,ĐỌC TIN RÌ VIU VỀ MÁC BÚT ĐI EM
85,BẬT TÁC HẠI CỦA NGHIỆN GEM CHO TỤI NHỎ NÓ NGHE ĐI MAI CA,BẬT TÁC HẠI CỦA NGHIỆN GEM CHO TỤI NHỎ NÓ NGHE ĐI MAI CA
86,MAI CA CHUYỂN TIN,MAI CA CHUYỂN TIN
87,ĐỌC TIN ĐÁ BANH U HAI MƯƠI BA VIỆT NAM ĐI EM,ĐỌC TIN ĐÁ BANH U 23 VIỆT NAM ĐI EM
88,BẬT TIẾNG MỘT ĐÀN CHÓ,BẬT TIẾNG MỘT ĐÀN CHÓ
89,NGÀY TÁM THÁNG BA LÀ THỨ MẤY TA,NGÀY TÁM THÁNG BA LÀ THỨ MẤY TA
90,NGÀY MỘT THÁNG NĂM LÀ NGÀY MẤY,NGÀY MỘT THÁNG NĂM LÀ NGÀY MẤY
91,NÔ EN NĂM NAY,NÔ EN NĂM NAY
92,NAY NGÀY MẤY THÁNG SÁU RỒI,NAY NGÀY MẤY THÁNG 6 RỒI
93,EM CÓ ĐANG MỞ LU TÚT THÌ TẮT ĐI,EM CÓ ĐANG MỞ LU TÚT THÌ TẮT ĐI
94,MỞ GIÙM ANH LU TÚT,MỞ GIÙM ANH LU TÚT
95,ĐỌC TRUYỆN CỔ TÍCH VỀ MẸ KẾ ĐI MAI CA,ĐỌC TRUYỆN CỔ TÍCH VỀ MẸ KẾ ĐI MAI CA
96,MỞ MỘT TRUYỆN CƯỜI NGẮN VÀ HAI CHUYỆN BUỒN DÀI,MỞ MỘT TRUYỆN CƯỜI NGẮN VÀ HAI CHUYỆN BUỒN DÀI
97,LÚC TÁM GIỜ MỞ TRUYỆN BA CHÚ HEO CON CHO BÉ NGỦ,LÚC 8 GIỜ MỞ TRUYỆN BA CHÚ HEO CON CHO BÉ NGỦ
98,KỂ CHUYỆN MA CHO BÉ NGỦ ĐI MAI CA,KỂ CHUYỆN MA CHO BÉ NGỦ ĐI MAI CA
99,MỞ ĐÈN VỚI QUẠT PHÒNG ĐẰNG TRƯỚC ĐI MAI CA,MỞ ĐÈN VỚI QUẠT PHÒNG ĐẰNG TRƯỚC ĐI MAI CA
100,ĐÓNG CỬA GA RA LẠI,ĐÓNG CỬA GA RA LẠI
101,MỞ MÁY LẠNH HAI MƯƠI SÁU ĐỘ THÔI,MỞ MÁY LẠNH 20 SÁU ĐỘ THÔI
102,ANH ĐI LÀM MAI CA TẮT HẾT ĐÈN VỚI CỬA LẠI GIÙM ANH,ANH ĐI LÀM MAI CA TẮT HẾT ĐÈN VỚI CỬA LẠI GIÙM ANH
103,TẮT GIÙM ANH ĐÈN PHÒNG NGỦ,TẮT GIÙM ANH ĐÈN PHÒNG NGỦ
104,MỞ ĐÀI VÊ TÊ VÊ BA CHO ANH NHA,MỞ ĐÀI VÊ TÊ VÊ BA CHO ANH NHA
105,BẬT QUẠT SỐ HAI,BẬT QUẠT SỐ 2
106,MAI CA ANH QUÊN TẮT BẾP RỒI EM TẮT GIÙM ANH,MAI CA ANH QUÊN TẮT BẾP RỒI EM TẮT GIÙM ANH
107,BÀI HÁT BÀI NÀY CHIU PHẾT,BÀI HÁT BÀI NÀY CHIU PHẾT
108,CHO PHÁT NHẠC TRƯỚC NĂM MỘT CHÍN BẢY LĂM GIÙM ANH ĐI MAI CA,CHO PHÁT NHẠC TRƯỚC NĂM 1975 GIÙM ANH ĐI MAI CA
109,CHO PHÁT BẢN NHẠC TÔI ĐƯA EM SANG SÔNG ĐI MAI CA,CHO PHÁT BẢN NHẠC TÔI ĐƯA EM SANG SÔNG ĐI MAI CA
110,SÁU GIỜ BA MƯƠI PHÚT SÁNG MAI PHÁT NHẠC NHÉ,6 GIỜ 30 PHÚT SÁNG MAI PHÁT NHẠC NHÉ
111,HAI MƯƠI GIỜ BỐN MƯƠI PHÚT SÁNG NGÀY HÔM NAY MỞ NHẠC ĐÀM VĨNH HƯNG,20 GIỜ 40 PHÚT SÁNG NGÀY HÔM NAY MỞ NHẠC ĐÀM VĨNH HƯNG
112,A LÔ MỞ NHẠC ĐƯỜNG LÊN ĐỈNH Ô LUM BI A,A LÔ MỞ NHẠC ĐƯỜNG LÊN ĐỈNH Ô LUM BI A
113,BẢY GIỜ SÁNG MAI BẬT NHẠC CHO TÔI NGHE,7 GIỜ SÁNG MAI BẬT NHẠC CHO TÔI NGHE
114,BA MƯƠI BÀI HÁT BÔ LÊ RÔ CHỌN LỌC HAY NHẤT,30 BÀI HÁT BÔ LÊ RÔ CHỌN LỌC HAY NHẤT
115,MAI CA ĐANG HÁT BÀI GÌ ĐÓ,MAI CA ĐANG HÁT BÀI GÌ ĐÓ
116,MƯỜI LĂM GIỜ BA MƯƠI MỞ BÀI CHÚ ẾCH CON,15 GIỜ 30 MỞ BÀI CHÚ ẾCH CON
117,MƯỜI BÀI HÁT RAP VIỆT,10 BÀI HÁT RAP VIỆT
118,TIẾNG THÁI NÓI ANH THÍCH EM NHƯ NÀO VẬY MAI CA,TIẾNG THÁI NÓI ANH THÍCH EM NHƯ NÀO VẬY MAI CA
119,BA NHÂN MƯỜI HAI BẰNG BAO NHIÊU,BA NHÂN 12 BẰNG BAO NHIÊU
120,QUẬN BA HÔM NAY THỜI TIẾT NHƯ THẾ NÀO,QUẬN 3 HÔM NAY THỜI TIẾT NHƯ THẾ NÀO
121,HÔM NAY Ở QUẬN BA CÓ MƯA KHÔNG,HÔM NAY Ở QUẬN BA CÓ MƯA KHÔNG
122,CHÍNH GIỜ BA MƯƠI SÁNG MAI NHẮC TÔI HỌP,CHÍNH GIỜ 30 SÁNG MAI NHẮC TÔI HỌP
123,NHẮC NHỞ TÔI MƯỜI MỘT GIỜ TỐI ĐI NGỦ,NHẮC NHỞ TÔI 11 GIỜ TỐI ĐI NGỦ
124,NHẮC TÔI NĂM PHÚT NỮA TĂNG CA,NHẮC TÔI NĂM PHÚT NỮA TĂNG CA
125,ĐẶT BÁO THỨC NGỦ DẬY LÚC BẢY GIỜ,ĐẶT BÁO THỨC NGỦ DẬY LÚC 7 GIỜ
126,ĐẶT BÁO THỨC BẢY GIỜ BA MƯƠI SÁNG,ĐẶT BÁO THỨC BẢY GIỜ 30 SÁNG
127,MỞ BÓT KHÁT TIẾNG VIỆT,MỞ BÓT KHÁT TIẾNG VIỆT
128,MỞ BÓT CÁT MỚI PHÁT HÀNH,MỞ BÓT CÁT MỚI PHÁT HÀNH
129,MỞ RÂY ĐI Ô,MỞ RÂY ĐI Ô
130,MỞ ĐÀI RÂY ĐI Ô VI ÂU VI,MỞ ĐÀI RÂY ĐI Ô VI ÂU VI
131,MỞ RÂY ĐI Ô CHÍN CHÍN CHẤM CHÍN,MỞ RÂY ĐI Ô CHÍN CHÍN CHẤM CHÍN
132,MỞ KÊNH RÂY ĐI Ô CA NHẠC,MỞ KÊNH RÂY ĐI Ô CA NHẠC
133,TẮT RÂY ĐI Ô SAU MƯỜI PHÚT,TẮT RÂY ĐI Ô SAU 10 PHÚT
134,MỞ RA ĐI Ô TRONG HAI GIỜ,MỞ RA ĐI Ô TRONG 2 GIỜ
135,MỞ CHƯƠNG TRÌNH RA ĐI Ô BÚC,MỞ CHƯƠNG TRÌNH RA ĐI Ô BÚC
136,MỞ KINH ÉP EM TÁM CHÍN,MỞ KINH ÉP EM 8 CHÍN
137,MỞ VÊ Ô VÊ MỘT,MỞ VÊ Ô VÊ MỘT
138,PHÁT ÂM THANH TRẮNG TRONG BA MƯƠI PHÚT,PHÁT ÂM THANH TRẮNG TRONG 30 PHÚT
139,NGÀY MƯỜI ÂM LỊCH LÀ THỨ MẤY,NGÀY 10 ÂM LỊCH LÀ THỨ MẤY
140,KẾT NỐI LU TÚT,KẾT NỐI LU TÚT
141,BẬT CHẾ ĐỘ LU TÚT,BẬT CHẾ ĐỘ LU TÚT
142,KỂ TRUYỆN ĐẾN MƯỜI MỘT GIỜ,KỂ TRUYỆN ĐẾN 11 GIỜ
143,KỂ MƯỜI CÂU TRUYỆN CỔ TÍCH,KỂ 10 CÂU TRUYỆN CỔ TÍCH
144,PHÁT LIÊN TỤC BÀI NÀY NĂM LẦN,PHÁT LIÊN TỤC BÀI NÀY NĂM LẦN
145,MỞ NHẠC TRONG MƯỜI LĂM PHÚT,MỞ NHẠC TRONG 15 PHÚT
146,LẶP LẠI BÀI NÀY MƯỜI LẦN,LẶP LẠI BÀI NÀY MƯỜI LẦN
147,MỞ BÀI NÀY MƯỜI LẦN ĐI,MỞ BÀI NÀY MƯỜI LẦN ĐI
148,PHÁT NHẠC HÒA TẤU TRONG HAI GIỜ,PHÁT NHẠC HÒA TẤU TRONG 2 GIỜ
149,MỞ THÔNG TIN VỀ BÃO SỐ CHÍN,MỞ THÔNG TIN VỀ BÃO SỐ 9
150,BẬT BÁO THỨC LÚC NĂM GIỜ SÁNG,BẬT BÁO THỨC LÚC 5 GIỜ SÁNG
151,MỞ KÊNH XON ÉP EM,MỞ KÊNH XON ÉP EM
152,MỞ KÊNH TRỰC TUYẾN VÊ Ô VÊ GIAO THÔNG,MỞ KÊNH TRỰC TUYẾN VÊ Ô VÊ GIAO THÔNG
153,MỞ RA ĐI Ô GIỌNG MIỀN NAM,MỞ RA ĐI Ô GIỌNG MIỀN NAM
154,TUA LẠI NĂM PHÚT,TUA LẠI 5 PHÚT
155,MỞ RÂY ĐI Ô TÂM SỰ ĐÊM KHUYA,MỞ RÂY ĐI Ô TÂM SỰ ĐÊM KHUYA
156,MỞ LỐC RÂY ĐI Ô Ý NGHĨA CUỘC SỐNG,MỞ LỐC RÂY ĐI Ô Ý NGHĨA CUỘC SỐNG
157,MỞ LỐC RÂY ĐI Ô TÌNH YÊU,MỞ LỐC RÂY ĐI Ô TÌNH YÊU
158,MỞ KÊNH RÂY ĐI Ô MƯỜI LĂM HÉT,MỞ KÊNH RÂY ĐI Ô 15 HÉT
159,MỞ TIẾNG ẾCH NHÁI KIU TRONG MỘT GIỜ,MỞ TIẾNG ẾCH NHÁI KIU TRONG 1 GIỜ
160,NGÀY BA MƯƠI THÁNG TƯ NHẰM NGÀY MẤY ÂM LỊCH,NGÀY 30 THÁNG 4 NHẰM NGÀY MẤY ÂM LỊCH
161,BA MƯƠI THÁNG TƯ LÀ THỨ MẤY,30 THÁNG 4 LÀ THỨ MẤY
162,ĐẶT ÂM LƯỢNG MỨC NĂM,ĐẶT ÂM LƯỢNG MỨC 5
163,BẬT LU TÚT,BẬT LU TÚT
164,ĐỌC TRUYỆN PHÒNG TRỌ BA NGƯỜI,ĐỌC TRUYỆN PHÒNG TRỌ 3 NGƯỜI
165,HẠ NHIỆT ĐỘ XUỐNG MỨC HAI MƯƠI BA,HẠ NHIỆT ĐỘ XUỐNG MỨC 23
166,MỞ NHẠC TẾT RÌ MÍC,MỞ NHẠC TẾT RÌ MÍC
167,MỞ BÀI NGÂY THƠ RÌ MÍT,MỞ BÀI NGÂY THƠ RÌ MÍT
168,PHÁT BÀI DẠ VŨ LẬP LẠI MƯỜI LẦN,PHÁT BÀI DẠ VŨ LẬP LẠI 10 LẦN
169,MỞ NHẠC CỦA SÀI GÒN CHÍN ÍT,MỞ NHẠC CỦA SÀI GÒN CHÍN ÍT
170,MỞ NHẠC GHI TA CỔ ĐIỂN,MỞ NHẠC GHI TA CỔ ĐIỂN
171,MỞ NHẠC TĂNG GÔ,MỞ NHẠC TĂNG GÔ
172,MỞ BÀI BÀI KHÔNG TÊN SỐ NĂM CỦA BẰNG KIỀU,MỞ BÀI BÀI KHÔNG TÊN SỐ NĂM CỦA BẰNG KIỀU
173,TÔI SINH NGÀY MƯỜI,TÔI SINH NGÀY 10
174,TÔI SINH THÁNG CHÍN,TÔI SINH THÁNG 9
175,BA GIỜ CHIỀU NAY CÓ MƯA KHÔNG,3 GIỜ CHIỀU NAY CÓ MƯA KHÔNG
176,NGÀY MAI GỌI TÔI DẬY LÚC CHÍN GIỜ,NGÀY MAI GỌI TÔI DẬY LÚC 9 GIỜ
177,NHẮC TÔI SAU NĂM MƯƠI PHÚT NỮA,NHẮC TÔI SAU 50 PHÚT NỮA
178,GỌI TÔI DẬY VÀO LÚC SÁU GIỜ SÁNG MỖI NGÀY,GỌI TÔI DẬY VÀO LÚC 6 GIỜ SÁNG MỖI NGÀY
179,BÁO THỨC CHÍN GIỜ SÁNG MAI,BÁO THỨC 9 GIỜ SÁNG MAI
180,NGÀY MAI TÔI PHẢI ĐI BƠI LÚC NĂM GIỜ CHIỀU,NGÀY MAI TÔI PHẢI ĐI BƠI LÚC 5 GIỜ CHIỀU
181,MỞ CHƯƠNG CHÌNH CẢI LƯƠNG,MỞ CHƯƠNG CHÌNH CẢI LƯƠNG
182,BÓT CÁT ĐANG PHÁT CỦA AI,BÓT CÁT ĐANG PHÁT CỦA AI
183,MỞ BÓT CÁT,MỞ BÓT CÁT
184,BẬT KÊNH VÊ Ô VÊ MỘT,BẬT KÊNH VÊ Ô VÊ MỘT
185,MỞ KÊNH VÊ Ô VÊ GIAO THÔNG,MỞ KÊNH VÊ Ô VÊ GIAO THÔNG
186,MỞ ĐÀI ÉP EM CHÍN MƯƠI CHÍN CHẤM CHÍN,MỞ ĐÀI ÉP EM 90 CHÍN CHẤM CHÍN
187,MỞ RA ĐI Ô,MỞ RA ĐI Ô
188,NGÀY HAI MƯƠI BẢY THÁNG BA LÀ THỨ MẤY,NGÀY 27 THÁNG 3 LÀ THỨ MẤY
189,TẮT LU TÚT,TẮT LU TÚT
190,MỞ LU TÚT,MỞ LU TÚT
191,BẬT CHUYỆN TRONG BA MƯƠI PHÚT,BẬT CHUYỆN TRONG BA MƯƠI PHÚT
192,MỞ MƯỜI CHUYỆN CƯỜI,MỞ MƯỜI CHUYỆN CƯỜI
193,GIẢM ÂM LƯỢNG TI VI XUỐNG MỘT CHÚT,GIẢM ÂM LƯỢNG TI VI XUỐNG MỘT CHÚT
194,TĂNG NHIỆT ĐỘ LÊN HAI MƯƠI BẢY,TĂNG NHIỆT ĐỘ LÊN 27
195,TẮT ĐÈN PHÒNG NGỦ SỐ BA,TẮT ĐÈN PHÒNG NGỦ SỐ 3
196,BẬT NHIỆT ĐỘ HAI MƯƠI LĂM,BẬT NHIỆT ĐỘ 25
197,MỞ MÁY LẠNH SỐ BỐN,MỞ MÁY LẠNH SỐ 4
198,MỞ NHẠC CHONG PHÒNG KHÁCH,MỞ NHẠC CHONG PHÒNG KHÁCH
199,MỞ NHẠC TRONG VÒNG BA MƯƠI PHÚT,MỞ NHẠC TRONG VÒNG 30 PHÚT
200,MỞ BÀI CHẠY VỀ KHÓC VỚI ANH MƯỜI LẦN,MỞ BÀI CHẠY VỀ KHÓC VỚI ANH MƯỜI LẦN
201,MỞ NHẠC RÁP,MỞ NHẠC RÁP
202,MỞ ĐƯỜNG XƯA MÂY CHẮNG,MỞ ĐƯỜNG XƯA MÂY CHẮNG
203,XAM XUNG DO AI SÁNG LẬP,XAM XUNG DO AI SÁNG LẬP
204,MƯỜI MŨ HAI BẰNG MẤY,10 MŨ HAI BẰNG MẤY
205,TỐI NAY Ở QUẬN BẢY CÓ MƯA KHÔNG,TỐI NAY Ở QUẬN BẢY CÓ MƯA KHÔNG
206,THỜI TIẾT Ở QUẬN BẢY,THỜI TIẾT Ở QUẬN 7
207,CHỦ NHẬT TÔI Ở NHÀ NHẮC TÔI TRƯỚC HAI NGÀY,CHỦ NHẬT TÔI Ở NHÀ NHẮC TÔI TRƯỚC 2 NGÀY
208,THỨ HAI TÔI ĐI LÀM NHẮC TÔI TRƯỚC MỘT NGÀY,THỨ HAI TÔI ĐI LÀM NHẮC TÔI TRƯỚC 1 NGÀY
209,NHẮC TÔI ĐI NGỦ LÚC MƯỜI MỘT GIỜ TỐI,NHẮC TÔI ĐI NGỦ LÚC 11 GIỜ TỐI
210,NHẮC TÔI ĐÓNG TIỀN ĐIỆN VÀO NGÀY HAI MƯƠI TÁM HẰNG THÁNG,NHẮC TÔI ĐÓNG TIỀN ĐIỆN VÀO NGÀY 28 HẰNG THÁNG
211,ĐẶT BÁO THỨC LÚC BẢY GIỜ SÁNG,ĐẶT BÁO THỨC LÚC 7 GIỜ SÁNG
212,NHẮC TÔI SAU BA MƯƠI PHÚT NỮA,NHẮC TÔI SAU 30 PHÚT NỮA
213,NHẮC TÔI ĂN CƠM LÚC MƯỜI HAI GIỜ HẰNG NGÀY,NHẮC TÔI ĂN CƠM LÚC 12 GIỜ HẰNG NGÀY
214,NHẮC TÔI UỐNG NƯỚC SAU NĂM PHÚT NỮA,NHẮC TÔI UỐNG NƯỚC SAU 5 PHÚT NỮA
215,DỪNG BÓT CÁT,DỪNG BÓT CÁT
216,MỞ BÓT CÁT CỦA NGUYỄN NGỌC ANH,MỞ BÓT CÁT CỦA NGUYỄN NGỌC ANH
217,MỞ BÓT CÁT,MỞ BÓT CÁT
218,MỞ RA ĐI Ô ÉP EM TÁM CHÍN,MỞ RA ĐI Ô ÉP EM 8 CHÍN
219,MỞ ĐÀI SÁU MỘT KHÔNG,MỞ ĐÀI SÁU MỘT KHÔNG
220,MỞ ÉP EM CHÍN MỐT,MỞ ÉP EM CHÍN 1
221,MỞ VÊ Ô VÊ DAO THÔNG,MỞ VÊ Ô VÊ DAO THÔNG
222,MỞ VÊ Ô VÊ HAI,MỞ VÊ Ô VÊ HAI
223,MỞ VÊ Ô VÊ MỘT,MỞ VÊ Ô VÊ MỘT
224,MỞ ĐÀI CHÍN LĂM CHẤM SÁU,MỞ ĐÀI CHÍN 5 CHẤM SÁU
225,MỞ ĐÀI CHÍN CHÍN CHẤM CHÍN,MỞ ĐÀI CHÍN CHÍN CHẤM CHÍN
226,MỞ RA DÔ,MỞ RA DÔ
227,PHÁT TIẾNG CON CHIM CHÍCH CHÒE,PHÁT TIẾNG CON CHIM CHÍCH CHÒE
